ts,reason,cancel_aggressive_policy,policy_enabled,trade_side,trade_px,mid_at_trigger,bid_px,ask_px,spread_bps,tfi,last_quote_fade_age_ms,ret_1s_bps,ret_3s_bps,ret_5s_bps,directional_ret_1s_bps,directional_ret_3s_bps,directional_ret_5s_bps,suppression_result_1s,suppression_result_3s,suppression_result_5s
1777015125.605374,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2311.58,2311.5550000000003,2311.55,2311.56,0.04326092175943696,0.039145907473309635,2500.108003616333,0.0,0.0,-0.3460873740853321,-0.0,-0.0,0.3460873740853321,neutral,neutral,unsafe_suppression
1777015130.707702,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2311.55,2311.475,2311.47,2311.48,0.04326241901910373,0.2159264931087292,1025.5203247070312,0.0,0.0,0.0,-0.0,-0.0,-0.0,neutral,neutral,neutral
1777015130.9609811,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2311.55,2311.475,2311.47,2311.48,0.04326241901910373,0.2159264931087292,1278.7995338439941,0.0,0.0,0.0,-0.0,-0.0,-0.0,neutral,neutral,neutral
1777015131.209147,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2311.55,2311.475,2311.47,2311.48,0.04326241901910373,0.2159264931087292,1526.9653797149658,0.0,0.0,-0.7354611233070573,-0.0,-0.0,0.7354611233070573,neutral,neutral,unsafe_suppression
1777015131.4752073,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2311.47,2311.475,2311.47,2311.48,0.04326241901910373,0.21406727828746205,1793.0257320404053,0.0,0.0,-0.7354611233070573,-0.0,-0.0,0.7354611233070573,neutral,neutral,unsafe_suppression
1777015131.7054765,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2311.47,2311.475,2311.47,2311.48,0.04326241901910373,0.21406727828746205,2023.2949256896973,0.0,0.0,-0.7354611233070573,-0.0,-0.0,0.7354611233070573,neutral,neutral,unsafe_suppression
1777015131.9735022,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2311.47,2311.475,2311.47,2311.48,0.04326241901910373,0.21406727828746205,2291.320562362671,0.0,0.0,-0.7354611233070573,-0.0,-0.0,0.7354611233070573,neutral,neutral,unsafe_suppression
1777015132.2063425,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2311.47,2311.475,2311.47,2311.48,0.04326241901910373,0.21406727828746205,2524.160861968994,0.0,0.0,-0.7354611233070573,-0.0,-0.0,0.7354611233070573,neutral,neutral,unsafe_suppression
1777015132.4548635,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2311.47,2311.475,2311.47,2311.48,0.04326241901910373,0.21406727828746205,2772.681951522827,0.0,0.0,-0.7354611233070573,-0.0,-0.0,0.7354611233070573,neutral,neutral,unsafe_suppression
1777015132.707628,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2311.47,2311.475,2311.47,2311.48,0.04326241901910373,0.21406727828746205,3025.4464149475098,0.0,0.0,-0.7354611233070573,-0.0,-0.0,0.7354611233070573,neutral,neutral,unsafe_suppression
1777015134.4652934,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2311.47,2311.475,2311.47,2311.48,0.04326241901910373,0.21406727828746205,1012.0244026184082,0.0,-0.7354611233070573,-0.7354611233070573,-0.0,0.7354611233070573,0.7354611233070573,neutral,unsafe_suppression,unsafe_suppression
1777015134.7052317,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2311.47,2311.475,2311.47,2311.48,0.04326241901910373,0.21406727828746205,1251.962661743164,0.0,-0.7354611233070573,-0.7354611233070573,-0.0,0.7354611233070573,0.7354611233070573,neutral,unsafe_suppression,unsafe_suppression
1777015134.9610152,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2311.47,2311.475,2311.47,2311.48,0.04326241901910373,0.21406727828746205,1507.7462196350098,0.0,-0.7354611233070573,-1.1248228944711214,-0.0,0.7354611233070573,1.1248228944711214,neutral,unsafe_suppression,unsafe_suppression
1777015135.20536,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2311.47,2311.475,2311.47,2311.48,0.04326241901910373,0.21406727828746205,1752.0909309387207,-0.7354611233070573,-0.7354611233070573,-1.1248228944711214,0.7354611233070573,0.7354611233070573,1.1248228944711214,unsafe_suppression,unsafe_suppression,unsafe_suppression
1777015135.460074,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2311.47,2311.475,2311.47,2311.48,0.04326241901910373,0.21406727828746205,2006.8049430847168,-0.7354611233070573,-0.7354611233070573,-1.1248228944711214,0.7354611233070573,0.7354611233070573,1.1248228944711214,unsafe_suppression,unsafe_suppression,unsafe_suppression
1777015135.7053673,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2311.47,2311.475,2311.47,2311.48,0.04326241901910373,0.21406727828746205,2252.098321914673,-0.7354611233070573,-0.7354611233070573,-1.1248228944711214,0.7354611233070573,0.7354611233070573,1.1248228944711214,unsafe_suppression,unsafe_suppression,unsafe_suppression
