ts,in_quote,quote_ts,quote_leg,quote_price,quote_lifetime_sec,trade_side,trade_px,mid_perp,bid_px,ask_px,spread_bps,tfi,proximity_to_quote_bps,proximity_to_best_bps,danger_direction_match,trade_reuse_key,duplicate_trade_signal,time_since_quote_ms,time_to_quote_end_ms
1777017806.159913,False,,,,,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,,0.08656884387301134,unknown,sell:2310.32:1777017806.1,False,,
1777017806.403092,False,,,,,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,,0.08656884387301134,unknown,sell:2310.32:1777017806.4,False,,
1777017806.9026086,False,,,,,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,,0.08656884387301134,unknown,sell:2310.32:1777017806.9,False,,
1777017807.1726625,False,,,,,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,,0.08656884387301134,unknown,sell:2310.32:1777017807.1,False,,
1777017807.4287288,False,,,,,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,,0.08656884387301134,unknown,sell:2310.32:1777017807.4,False,,
1777017807.9356751,False,,,,,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,,0.08656884387301134,unknown,sell:2310.32:1777017807.9,False,,
1777017808.2013109,False,,,,,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,,0.08656884387301134,unknown,sell:2310.32:1777017808.2,False,,
1777017808.7020285,False,,,,,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,,0.08656884387301134,unknown,sell:2310.32:1777017808.7,False,,
1777017808.9659698,False,,,,,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,,0.08656884387301134,unknown,sell:2310.32:1777017808.9,False,,
1777017809.233234,False,,,,,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,,0.08656884387301134,unknown,sell:2310.32:1777017809.2,False,,
1777017809.7503436,False,,,,,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,,0.08656884387301134,unknown,sell:2310.32:1777017809.7,False,,
1777017810.0017319,False,,,,,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,,0.08656884387301134,unknown,sell:2310.32:1777017810.0,False,,
1777017810.2666788,False,,,,,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,,0.08656884387301134,unknown,sell:2310.32:1777017810.2,False,,
1777017810.5018344,False,,,,,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,,0.08656884387301134,unknown,sell:2310.32:1777017810.5,False,,
1777017810.7500503,False,,,,,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,,0.08656884387301134,unknown,sell:2310.32:1777017810.7,False,,
1777017811.0038023,False,,,,,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,,0.08656884387301134,unknown,sell:2310.32:1777017811.0,False,,
1777017811.7637858,False,,,,,buy,2310.31,2310.3050000000003,2310.3,2310.31,0.043284328258665114,1.0,,0.0,unknown,buy:2310.31:1777017811.7,False,,
1777017812.002873,False,,,,,buy,2310.31,2310.3050000000003,2310.3,2310.31,0.043284328258665114,1.0,,0.0,unknown,buy:2310.31:1777017812.0,False,,
1777017812.2623987,False,,,,,buy,2310.31,2310.3050000000003,2310.3,2310.31,0.043284328258665114,1.0,,0.0,unknown,buy:2310.31:1777017812.2,False,,
1777017812.4972265,False,,,,,buy,2310.31,2310.3050000000003,2310.3,2310.31,0.043284328258665114,1.0,,0.0,unknown,buy:2310.31:1777017812.4,False,,
1777017812.7627568,False,,,,,buy,2310.31,2310.3050000000003,2310.3,2310.31,0.043284328258665114,1.0,,0.0,unknown,buy:2310.31:1777017812.7,False,,
1777017813.2599797,False,,,,,buy,2310.31,2310.3050000000003,2310.3,2310.31,0.043284328258665114,1.0,,0.0,unknown,buy:2310.31:1777017813.2,False,,
1777017813.501956,False,,,,,buy,2310.31,2310.3050000000003,2310.3,2310.31,0.043284328258665114,1.0,,0.0,unknown,buy:2310.31:1777017813.5,False,,
1777017814.2744706,False,,,,,buy,2310.31,2310.3050000000003,2310.3,2310.31,0.043284328258665114,1.0,,0.0,unknown,buy:2310.31:1777017814.2,False,,
1777017814.5392807,False,,,,,sell,2310.18,2310.165,2310.16,2310.17,0.043286951365890655,0.68,,0.08657409010623425,unknown,sell:2310.18:1777017814.5,False,,
1777017814.789639,False,,,,,sell,2310.18,2310.165,2310.16,2310.17,0.043286951365890655,0.68,,0.08657409010623425,unknown,sell:2310.18:1777017814.7,False,,
1777017815.0390725,False,,,,,sell,2310.06,2310.065,2310.06,2310.07,0.04328882520716204,-0.9754242246928027,,0.0,unknown,sell:2310.06:1777017815.0,False,,
1777017815.3023064,False,,,,,sell,2310.06,2310.065,2310.06,2310.07,0.04328882520716204,-0.9754242246928027,,0.0,unknown,sell:2310.06:1777017815.3,False,,
1777017815.5556567,False,,,,,sell,2310.06,2310.065,2310.06,2310.07,0.04328882520716204,-0.9754242246928027,,0.0,unknown,sell:2310.06:1777017815.5,False,,
1777017815.8040714,False,,,,,sell,2310.06,2310.065,2310.06,2310.07,0.04328882520716204,-0.9754242246928027,,0.0,unknown,sell:2310.06:1777017815.8,False,,
1777017816.0657668,False,,,,,sell,2310.06,2310.065,2310.06,2310.07,0.04328882520716204,-0.9754242246928027,,0.0,unknown,sell:2310.06:1777017816.0,False,,
1777017816.301312,False,,,,,sell,2310.06,2310.065,2310.06,2310.07,0.04328882520716204,-0.9754242246928027,,0.0,unknown,sell:2310.06:1777017816.3,False,,
1777017816.5607996,False,,,,,sell,2310.06,2310.065,2310.06,2310.07,0.04328882520716204,-0.9754242246928027,,0.0,unknown,sell:2310.06:1777017816.5,False,,
