ts,leg,side,price,qty,mid_perp,micro_price,bid_px,ask_px,spread_bps,tfi,obi,base_half_spread_bps,min_half_spread_bps,one_sided_quote_policy,cancel_aggressive_policy,quote_distance_from_mid_bps,quote_distance_from_micro_bps,quote_distance_from_best_bps,aggressive_vs_best,directional_alignment,quote_lifetime_sec,end_reason,cancel_aggressive_count_during_quote,quote_fade_count_during_quote,tfi_fade_count_during_quote
1777018199.0117416,bid,buy,2299.96,0.21,2307.5150000000003,2307.510333599858,2307.25,2307.26,0.043341546557351826,-0.709582598471487,-0.9262365153673926,15.0,15.0,current,current,32.74084892189342,32.720692470654456,31.596055910716064,passive_inside_book,against_flow,0.2520468235015869,cancel_aggressive,1,0,0
1777018199.0127413,ask,sell,2310.33,0.26,2307.5150000000003,2307.510333599858,2307.25,2307.26,0.043341546557351826,-0.709582598471487,-0.9262365153673926,15.0,15.0,current,current,12.199270643959409,12.219517976082976,13.305825958061547,passive_inside_book,with_flow,0.25104713439941406,cancel_aggressive,1,0,0
1777018251.1800282,bid,buy,2304.1,0.21,2307.815,2307.818621182354,2307.58,2307.59,0.04333534842798111,0.5100222717149215,-0.49320138051478235,15.0,15.0,current,current,16.09747748411439,16.11314315701718,15.080733929051293,passive_inside_book,neutral,0.2490828037261963,cancel_aggressive,1,0,0
1777018251.1800282,ask,sell,2311.03,0.25,2307.815,2307.818621182354,2307.58,2307.59,0.04333534842798111,0.5100222717149215,-0.49320138051478235,15.0,15.0,current,current,13.93092600576799,13.91521321550345,14.907327558188648,passive_inside_book,neutral,0.2490828037261963,cancel_aggressive,1,0,0
1777018288.8058763,bid,buy,2299.98,0.21,2307.525,2307.520470349534,2307.52,2307.53,0.04333647522873329,-0.6496420047732703,-0.9439818872334209,15.0,15.0,current,current,32.69737055936587,32.67780479707722,32.67577312439313,passive_inside_book,against_flow,0.25226902961730957,cancel_aggressive,1,0,0
1777018288.8058763,ask,sell,2310.35,0.26,2307.525,2307.520470349534,2307.52,2307.53,0.04333647522873329,-0.6496420047732703,-0.9439818872334209,15.0,15.0,current,current,12.242554251849137,12.26220823097225,12.220859533785948,passive_inside_book,with_flow,0.25226902961730957,cancel_aggressive,1,0,0
1777018572.855171,bid,buy,2311.83,0.21,2315.59,2315.88950041632,2315.79,2315.8,0.04318171513548599,0.996459492428074,0.5985811409991132,18.0,18.0,current,current,16.237762298162533,17.52890375637685,17.099996113637406,passive_inside_book,with_flow,0.2462306022644043,cancel_aggressive,1,0,0
1777018572.856172,ask,sell,2324.34,0.25,2315.59,2315.88950041632,2315.79,2315.8,0.04318171513548599,0.996459492428074,0.5985811409991132,18.0,18.0,current,current,37.78734577364732,36.48921756483185,36.877105104067546,passive_inside_book,against_flow,0.24522948265075684,cancel_aggressive,1,0,0
1777018573.3473864,bid,buy,2311.46,0.21,2315.795,2315.7919390402076,2315.79,2315.8,0.04318171513548599,0.9930680084575648,-0.5926003344481604,18.0,18.0,current,current,18.71927351082473,18.70608048667334,18.697723023244453,passive_inside_book,with_flow,0.2541501522064209,cancel_aggressive,1,0,0
1777018573.3473864,ask,sell,2323.9700000000003,0.25,2315.795,2315.7919390402076,2315.79,2315.8,0.04318171513548599,0.9930680084575648,-0.5926003344481604,18.0,18.0,current,current,35.30105212249004,35.31431654944837,35.27938509370443,passive_inside_book,against_flow,0.2541501522064209,cancel_aggressive,1,0,0
