scenario,policy,quote_ts,leg,tfi_at_quote,would_suppress,suppress_reason,original_end_reason,quote_lifetime_sec,cancel_aggressive_count_during_quote,quote_fade_count_during_quote,tfi_fade_count_during_quote
18bps,D_tfi_0p8,1777018745.305286,ask,0.5551689860834994,False,,cancel_aggressive,0.27044105529785156,1,0,0
18bps,A_current,1777018766.5049949,bid,0.7052922864060879,False,,cancel_aggressive,0.2619619369506836,1,0,0
18bps,B_tfi_0p6,1777018766.5049949,bid,0.7052922864060879,False,,cancel_aggressive,0.2619619369506836,1,0,0
18bps,C_tfi_0p7,1777018766.5049949,bid,0.7052922864060879,False,,cancel_aggressive,0.2619619369506836,1,0,0
18bps,D_tfi_0p8,1777018766.5049949,bid,0.7052922864060879,False,,cancel_aggressive,0.2619619369506836,1,0,0
18bps,A_current,1777018766.5049949,ask,0.7052922864060879,False,,cancel_aggressive,0.2619619369506836,1,0,0
18bps,B_tfi_0p6,1777018766.5049949,ask,0.7052922864060879,True,tfi>=0.6,cancel_aggressive,0.2619619369506836,1,0,0
18bps,C_tfi_0p7,1777018766.5049949,ask,0.7052922864060879,True,tfi>=0.7,cancel_aggressive,0.2619619369506836,1,0,0
18bps,D_tfi_0p8,1777018766.5049949,ask,0.7052922864060879,False,,cancel_aggressive,0.2619619369506836,1,0,0
18bps,A_current,1777018790.6030629,bid,0.08119135046919641,False,,cancel_aggressive,0.25795531272888184,1,0,0
18bps,B_tfi_0p6,1777018790.6030629,bid,0.08119135046919641,False,,cancel_aggressive,0.25795531272888184,1,0,0
18bps,C_tfi_0p7,1777018790.6030629,bid,0.08119135046919641,False,,cancel_aggressive,0.25795531272888184,1,0,0
18bps,D_tfi_0p8,1777018790.6030629,bid,0.08119135046919641,False,,cancel_aggressive,0.25795531272888184,1,0,0
18bps,A_current,1777018790.6030629,ask,0.08119135046919641,False,,cancel_aggressive,0.25795531272888184,1,0,0
18bps,B_tfi_0p6,1777018790.6030629,ask,0.08119135046919641,False,,cancel_aggressive,0.25795531272888184,1,0,0
18bps,C_tfi_0p7,1777018790.6030629,ask,0.08119135046919641,False,,cancel_aggressive,0.25795531272888184,1,0,0
18bps,D_tfi_0p8,1777018790.6030629,ask,0.08119135046919641,False,,cancel_aggressive,0.25795531272888184,1,0,0
18bps,A_current,1777018792.1463847,bid,0.3021442495126712,False,,cancel_aggressive,0.7937793731689453,1,0,0
18bps,B_tfi_0p6,1777018792.1463847,bid,0.3021442495126712,False,,cancel_aggressive,0.7937793731689453,1,0,0
18bps,C_tfi_0p7,1777018792.1463847,bid,0.3021442495126712,False,,cancel_aggressive,0.7937793731689453,1,0,0
18bps,D_tfi_0p8,1777018792.1463847,bid,0.3021442495126712,False,,cancel_aggressive,0.7937793731689453,1,0,0
18bps,A_current,1777018792.1473827,ask,0.3021442495126712,False,,cancel_aggressive,0.7927813529968262,1,0,0
18bps,B_tfi_0p6,1777018792.1473827,ask,0.3021442495126712,False,,cancel_aggressive,0.7927813529968262,1,0,0
18bps,C_tfi_0p7,1777018792.1473827,ask,0.3021442495126712,False,,cancel_aggressive,0.7927813529968262,1,0,0
18bps,D_tfi_0p8,1777018792.1473827,ask,0.3021442495126712,False,,cancel_aggressive,0.7927813529968262,1,0,0
18bps,A_current,1777018792.4111507,bid,0.3021442495126712,False,,cancel_aggressive,0.5290133953094482,1,0,0
18bps,B_tfi_0p6,1777018792.4111507,bid,0.3021442495126712,False,,cancel_aggressive,0.5290133953094482,1,0,0
18bps,C_tfi_0p7,1777018792.4111507,bid,0.3021442495126712,False,,cancel_aggressive,0.5290133953094482,1,0,0
18bps,D_tfi_0p8,1777018792.4111507,bid,0.3021442495126712,False,,cancel_aggressive,0.5290133953094482,1,0,0
18bps,A_current,1777018792.4121509,ask,0.3021442495126712,False,,cancel_aggressive,0.5280132293701172,1,0,0
18bps,B_tfi_0p6,1777018792.4121509,ask,0.3021442495126712,False,,cancel_aggressive,0.5280132293701172,1,0,0
18bps,C_tfi_0p7,1777018792.4121509,ask,0.3021442495126712,False,,cancel_aggressive,0.5280132293701172,1,0,0
18bps,D_tfi_0p8,1777018792.4121509,ask,0.3021442495126712,False,,cancel_aggressive,0.5280132293701172,1,0,0
18bps,A_current,1777018792.675962,bid,0.3021442495126712,False,,cancel_aggressive,0.2642021179199219,1,0,0
18bps,B_tfi_0p6,1777018792.675962,bid,0.3021442495126712,False,,cancel_aggressive,0.2642021179199219,1,0,0
18bps,C_tfi_0p7,1777018792.675962,bid,0.3021442495126712,False,,cancel_aggressive,0.2642021179199219,1,0,0
18bps,D_tfi_0p8,1777018792.675962,bid,0.3021442495126712,False,,cancel_aggressive,0.2642021179199219,1,0,0
18bps,A_current,1777018792.675962,ask,0.3021442495126712,False,,cancel_aggressive,0.2642021179199219,1,0,0
18bps,B_tfi_0p6,1777018792.675962,ask,0.3021442495126712,False,,cancel_aggressive,0.2642021179199219,1,0,0
18bps,C_tfi_0p7,1777018792.675962,ask,0.3021442495126712,False,,cancel_aggressive,0.2642021179199219,1,0,0
18bps,D_tfi_0p8,1777018792.675962,ask,0.3021442495126712,False,,cancel_aggressive,0.2642021179199219,1,0,0
18bps,A_current,1777018853.0694318,bid,-0.2798434442270069,False,,cancel_aggressive,0.48397397994995117,1,0,0
18bps,B_tfi_0p6,1777018853.0694318,bid,-0.2798434442270069,False,,cancel_aggressive,0.48397397994995117,1,0,0
18bps,C_tfi_0p7,1777018853.0694318,bid,-0.2798434442270069,False,,cancel_aggressive,0.48397397994995117,1,0,0
18bps,D_tfi_0p8,1777018853.0694318,bid,-0.2798434442270069,False,,cancel_aggressive,0.48397397994995117,1,0,0
18bps,A_current,1777018853.0694318,ask,-0.2798434442270069,False,,cancel_aggressive,0.48397397994995117,1,0,0
18bps,B_tfi_0p6,1777018853.0694318,ask,-0.2798434442270069,False,,cancel_aggressive,0.48397397994995117,1,0,0
18bps,C_tfi_0p7,1777018853.0694318,ask,-0.2798434442270069,False,,cancel_aggressive,0.48397397994995117,1,0,0
18bps,D_tfi_0p8,1777018853.0694318,ask,-0.2798434442270069,False,,cancel_aggressive,0.48397397994995117,1,0,0
18bps,A_current,1777018853.3056107,bid,-0.2798434442270069,False,,cancel_aggressive,0.24779510498046875,1,0,0
18bps,B_tfi_0p6,1777018853.3056107,bid,-0.2798434442270069,False,,cancel_aggressive,0.24779510498046875,1,0,0
18bps,C_tfi_0p7,1777018853.3056107,bid,-0.2798434442270069,False,,cancel_aggressive,0.24779510498046875,1,0,0
18bps,D_tfi_0p8,1777018853.3056107,bid,-0.2798434442270069,False,,cancel_aggressive,0.24779510498046875,1,0,0
18bps,A_current,1777018853.3056107,ask,-0.2798434442270069,False,,cancel_aggressive,0.24779510498046875,1,0,0
18bps,B_tfi_0p6,1777018853.3056107,ask,-0.2798434442270069,False,,cancel_aggressive,0.24779510498046875,1,0,0
