scenario,ts,reason,trade_side,trade_px,mid_perp,bid_px,ask_px,spread_bps,tfi,in_quote,quote_leg,quote_lifetime_sec
18bps,1777018870.855759,cancel_aggressive,sell,2320.39,2320.4449999999997,2320.44,2320.45,0.04309518217308978,0.42562950482074285,False,,
18bps,1777018871.1039004,cancel_aggressive,sell,2320.21,2320.385,2320.38,2320.39,0.043096296518739474,0.3682508310124874,False,,
18bps,1777018871.3530886,cancel_aggressive,sell,2320.08,2320.0550000000003,2320.05,2320.06,0.04310242645007782,0.41358826805271887,False,,
18bps,1777018871.602825,cancel_aggressive,sell,2320.08,2319.975,2319.97,2319.98,0.04310391275862145,0.41358826805271887,False,,
18bps,1777018871.863102,cancel_aggressive,buy,2319.84,2319.835,2319.83,2319.84,0.04310651404181021,0.425021022143324,False,,
18bps,1777018872.1038632,cancel_aggressive,buy,2319.84,2320.045,2320.04,2320.05,0.04310261223475526,0.425021022143324,False,,
18bps,1777018872.3568804,cancel_aggressive,sell,2320.04,2320.045,2320.04,2320.05,0.04310261223475526,0.13666228646517772,False,,
18bps,1777018872.601058,cancel_aggressive,sell,2320.31,2320.315,2320.31,2320.32,0.043097596663462835,0.2312608948285886,False,,
18bps,1777018872.870326,cancel_aggressive,sell,2320.31,2320.315,2320.31,2320.32,0.043097596663462835,0.2312608948285886,False,,
18bps,1777018873.101835,cancel_aggressive,sell,2320.31,2320.315,2320.31,2320.32,0.043097596663462835,0.2312608948285886,False,,
18bps,1777018873.3646102,cancel_aggressive,sell,2320.31,2320.315,2320.31,2320.32,0.043097596663462835,0.2312608948285886,False,,
18bps,1777018873.8627992,cancel_aggressive,buy,2320.5,2320.495,2320.49,2320.5,0.0430942535976948,0.5723780191278977,True,bid,0.2530028820037842
18bps,1777018874.1006045,cancel_aggressive,buy,2320.5,2320.495,2320.49,2320.5,0.0430942535976948,0.5723780191278977,False,,
18bps,1777018874.3580093,cancel_aggressive,buy,2320.5,2320.495,2320.49,2320.5,0.0430942535976948,0.5723780191278977,False,,
18bps,1777018874.6003292,cancel_aggressive,buy,2320.5,2320.495,2320.49,2320.5,0.0430942535976948,0.5723780191278977,False,,
18bps,1777018874.855,cancel_aggressive,buy,2320.5,2320.495,2320.49,2320.5,0.0430942535976948,0.5723780191278977,False,,
18bps,1777018875.1024845,cancel_aggressive,buy,2320.69,2320.495,2320.49,2320.5,0.0430942535976948,0.5704799848226141,False,,
18bps,1777018875.3693905,cancel_aggressive,sell,2320.81,2320.705,2320.7,2320.71,0.04309035400974393,0.5698843163284654,False,,
18bps,1777018875.6014557,cancel_aggressive,buy,2320.51,2320.505,2320.5,2320.51,0.04309406788702579,0.6051938936655552,False,,
18bps,1777018875.8505266,cancel_aggressive,sell,2320.5,2320.505,2320.5,2320.51,0.04309406788702579,0.5898534014165704,False,,
18bps,1777018876.1015458,cancel_aggressive,buy,2320.72,2320.715,2320.71,2320.72,0.04309016833072364,0.8669733563350583,False,,
18bps,1777018876.3612578,cancel_aggressive,buy,2320.8,2320.8050000000003,2320.8,2320.81,0.04308849730918164,0.8828516377649324,False,,
18bps,1777018876.5998354,cancel_aggressive,buy,2320.8,2320.8050000000003,2320.8,2320.81,0.04308849730918164,0.8828516377649324,False,,
18bps,1777018877.1067889,cancel_aggressive,sell,2320.8,2320.8050000000003,2320.8,2320.81,0.04308849730918164,0.76644974692697,False,,
18bps,1777018877.34992,cancel_aggressive,sell,2320.8,2320.8050000000003,2320.8,2320.81,0.04308849730918164,0.7596101786681102,False,,
18bps,1777018877.6003842,cancel_aggressive,buy,2320.81,2320.8050000000003,2320.8,2320.81,0.04308849730918164,0.7633220459811082,False,,
18bps,1777018877.854395,cancel_aggressive,sell,2320.8,2320.8050000000003,2320.8,2320.81,0.04308849730918164,0.7064769749157616,False,,
18bps,1777018878.100581,cancel_aggressive,buy,2320.81,2320.935,2320.93,2320.94,0.04308608384215103,0.750992536128315,False,,
18bps,1777018878.3649688,cancel_aggressive,buy,2320.81,2320.935,2320.93,2320.94,0.04308608384215103,0.750992536128315,False,,
