ts,trade_id,trade_side,trade_px,trade_age_ms,has_active_quote,used_px_source,active_bid_px,active_ask_px,active_bid_qty,active_ask_qty,active_bid_ts,active_ask_ts,proximity_to_active_bid_bps,proximity_to_active_ask_bps,proximity_to_active_quote_bps,proximity_to_best_bps,danger_direction_match,tfi,spread_bps,quote_lifetime_sec,end_reason,quote_fade_nearby,quote_fade_dt_ms,valid_active_cancel_candidate
1777122096.1256974,1431919341534429184,buy,2313.39,652.6973247528076,True,active_quote,2309.23,2321.73,0.21,0.25,1777122095.8719099,1777122095.8719099,18.014662896289476,35.92148957889223,35.92148957889223,0.0,True,1.0,0.0432267002671995,0.2537875175476074,cancel_aggressive,True,502.4557113647461,False
1777122097.1138897,1431919345913282562,buy,2313.39,596.8897342681885,True,active_quote,2309.2400000000002,2321.7400000000002,0.21,0.25,1777122096.87167,1777122096.87167,17.971280594479722,35.96440600584201,35.96440600584201,0.0,True,1.0,0.0432267002671995,0.2422196865081787,cancel_aggressive,True,-485.736608505249,False
1777122097.6362348,1431919345913282562,buy,2313.39,1119.2348003387451,True,active_quote,2309.2400000000002,2321.7400000000002,0.21,0.25,1777122097.3725746,1777122097.3735745,17.971280594479722,35.96440600584201,35.96440600584201,0.0,True,1.0,0.0432267002671995,0.263660192489624,cancel_aggressive,True,233.53886604309082,False
1777122098.3715515,1431919345913282562,buy,2313.39,1854.5515537261963,True,active_quote,2309.2400000000002,2321.7400000000002,0.21,0.25,1777122098.1304026,1777122098.1304026,17.971280594479722,35.96440600584201,35.96440600584201,0.0,True,1.0,0.0432267002671995,0.2411489486694336,cancel_aggressive,True,257.1260929107666,False
1777122099.1122773,1431919354469662720,buy,2313.39,555.2773475646973,True,active_quote,2309.2400000000002,2321.7400000000002,0.21,0.25,1777122098.8702493,1777122098.8702493,17.971280594479722,35.96440600584201,35.96440600584201,0.0,True,1.0,0.0432267002671995,0.24202799797058105,cancel_aggressive,True,254.9459934234619,False
1777122101.128082,1431919354469662720,buy,2313.39,2571.08211517334,True,active_quote,2309.2400000000002,2321.7400000000002,0.21,0.25,1777122100.8714836,1777122100.8724866,17.971280594479722,35.96440600584201,35.96440600584201,0.0,True,1.0,0.0432267002671995,0.25659847259521484,cancel_aggressive,True,240.081787109375,False
1777122102.1251462,1431919354469662720,buy,2313.39,3568.146228790283,True,active_quote,2309.18,2321.68,0.21,0.25,1777122101.8719792,1777122101.8719792,18.231580041400136,35.70690189862498,35.70690189862498,0.0,True,1.0,0.0432267002671995,0.25316691398620605,cancel_aggressive,True,245.6364631652832,False
1777122103.6275787,1431919354469662720,buy,2313.39,5070.578813552856,True,active_quote,2309.2000000000003,2321.7000000000003,0.21,0.25,1777122103.371551,1777122103.371551,18.144812056121598,35.792738079856996,35.792738079856996,0.0,True,1.0,0.0432267002671995,0.2560276985168457,cancel_aggressive,True,-499.6147155761719,False
1777122106.1266246,1431919354469662720,buy,2313.39,7569.624662399292,True,active_quote,2309.18,2321.68,0.21,0.25,1777122105.871068,1777122105.8720732,18.231580041400136,35.70690189862498,35.70690189862498,0.0,True,1.0,0.0432267002671995,0.255556583404541,cancel_aggressive,True,-505.126953125,False
1777122106.6304524,1431919354469662720,buy,2313.39,8073.452472686768,True,active_quote,2309.18,2321.68,0.21,0.25,1777122106.371881,1777122106.371881,18.231580041400136,35.70690189862498,35.70690189862498,0.0,True,1.0,0.0432267002671995,0.2585713863372803,cancel_aggressive,True,736.4473342895508,False
